Province,Total Sale accumulate(100 million yuan),Total Sale (100 million yuan),Date,Building Type
Jiangsu,9055.81,1140.37,2022/08,Commercialized Buildings Sold
Jiangsu,7915.44,1091.42,2022/07,Commercialized Buildings Sold
Jiangsu,6824.02,1885.41,2022/06,Commercialized Buildings Sold
Jiangsu,4938.61,1184.42,2022/05,Commercialized Buildings Sold
Jiangsu,3754.19,790.55,2022/04,Commercialized Buildings Sold
Jiangsu,2963.64,1335.42,2022/03,Commercialized Buildings Sold
Jiangsu,1628.22,1628.22,2022/02,Commercialized Buildings Sold
Jiangsu,0,,2022/01,Commercialized Buildings Sold
Jiangsu,21361.32,2330.73,2021/12,Commercialized Buildings Sold
Jiangsu,19030.59,1459.51,2021/11,Commercialized Buildings Sold
Jiangsu,17571.08,1281.58,2021/10,Commercialized Buildings Sold
Jiangsu,16289.5,1767.09,2021/09,Commercialized Buildings Sold
Jiangsu,14522.41,1250.87,2021/08,Commercialized Buildings Sold
Jiangsu,13271.54,1606.22,2021/07,Commercialized Buildings Sold
Jiangsu,11665.32,2771.11,2021/06,Commercialized Buildings Sold
Jiangsu,8894.21,2268.1,2021/05,Commercialized Buildings Sold
Jiangsu,6626.11,2011.83,2021/04,Commercialized Buildings Sold
Jiangsu,4614.28,2205.1,2021/03,Commercialized Buildings Sold
Jiangsu,2409.18,2409.18,2021/02,Commercialized Buildings Sold
Jiangsu,0,,2021/01,Commercialized Buildings Sold
Jiangsu,19408.89,2564.15,2020/12,Commercialized Buildings Sold
Jiangsu,16844.74,1743.9,2020/11,Commercialized Buildings Sold
Jiangsu,15100.84,1659.5,2020/10,Commercialized Buildings Sold
Jiangsu,13441.34,1875.09,2020/09,Commercialized Buildings Sold
Jiangsu,11566.25,1741.57,2020/08,Commercialized Buildings Sold
Jiangsu,9824.68,1650.84,2020/07,Commercialized Buildings Sold
Jiangsu,8173.84,2377.6,2020/06,Commercialized Buildings Sold
Jiangsu,5796.24,1748.66,2020/05,Commercialized Buildings Sold
Jiangsu,4047.58,1399.25,2020/04,Commercialized Buildings Sold
Jiangsu,2648.33,1577.35,2020/03,Commercialized Buildings Sold
Jiangsu,1070.98,1070.98,2020/02,Commercialized Buildings Sold
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
