Building Type,Date,Total Sale accumulate(100 million yuan),Total Sale (100 million yuan)
Commercialized Residential Buildings Sold,2020-02-01,0.07,
Commercialized Residential Buildings Sold,2020-03-01,3.48,3.41
Commercialized Residential Buildings Sold,2020-04-01,12.21,8.73
Commercialized Residential Buildings Sold,2020-05-01,20.89,8.68
Commercialized Residential Buildings Sold,2020-06-01,31.89,11
Commercialized Residential Buildings Sold,2020-07-01,42.38,10.49
Commercialized Residential Buildings Sold,2020-08-01,43.68,1.3
Commercialized Residential Buildings Sold,2020-09-01,52.94,9.26
Commercialized Residential Buildings Sold,2020-10-01,57.04,4.1
Commercialized Residential Buildings Sold,2020-11-01,62.32,5.28
Commercialized Residential Buildings Sold,2020-12-01,72.03,9.71
Commercialized Residential Buildings Sold,2021-01-01,0,
Commercialized Residential Buildings Sold,2021-02-01,5.81,5.81
Commercialized Residential Buildings Sold,2021-03-01,14.88,9.07
Commercialized Residential Buildings Sold,2021-04-01,19.49,4.61
Commercialized Residential Buildings Sold,2021-05-01,26.64,7.15
Commercialized Residential Buildings Sold,2021-06-01,38.03,11.39
Commercialized Residential Buildings Sold,2021-07-01,49.09,11.06
Commercialized Residential Buildings Sold,2021-08-01,69.17,20.08
Commercialized Residential Buildings Sold,2021-09-01,76.27,7.1
Commercialized Residential Buildings Sold,2021-10-01,90.41,14.14
Commercialized Residential Buildings Sold,2021-11-01,94.31,3.9
Commercialized Residential Buildings Sold,2021-12-01,97.51,3.2
Commercialized Residential Buildings Sold,2022-01-01,0,
Commercialized Residential Buildings Sold,2022-02-01,1.63,1.63
Commercialized Residential Buildings Sold,2022-03-01,6.19,4.56
Commercialized Residential Buildings Sold,2022-04-01,10,3.81
Commercialized Residential Buildings Sold,2022-05-01,18.52,8.52
Commercialized Residential Buildings Sold,2022-06-01,33.6,15.08
Commercialized Residential Buildings Sold,2022-07-01,37.51,3.91
Commercialized Residential Buildings Sold,2022-08-01,38.02,0.51
